Gene,Index
GNPTAB,952
NOL12,953
PRRC2A,954
TMEM243,955
LILRP2,956
C1orf35,957
BAG6,958
PRR15L,959
RBM42,960
CENPO,961
C19orf57,962
CRELD2,963
ZNF343,964
FBXL15,965
ZNF576,966
THTPA,967
EFHD2,968
TTPAL,969
BRCC3,970
FSD1,971
TMEM43,972
THOC6,973
HSD17B8,974
ZNF557,975
DCAF10,976
CALB1,977
OR2H2,978
NELFE,979
CPLANE2,980
ZXDC,981
BHLHE41,982
HMGN5,983
FCRL2,984
B3GNT4,985
BCL2L14,986
CALB2,987
LST1,988
NOX5,989
PLA2G7,990
GLB1L,991
KREMEN2,992
ZBED2,993
LRFN3,994
CYBC1,995
TFEB,996
HAUS3,997
LRRC2,998
FYCO1,999
BIRC7,1000
WDR25,1001
S100G,1002
RIPOR1,1003
MAIP1,1004
EPM2A,1005
NKAIN1,1006
GCC1,1007
ATP13A3,1008
TTC13,1009
EPS8L3,1010
ABHD8,1011
CDC73,1012
SLC52A2,1013
SPAG16,1014
TMEM231,1015
CORO7,1016
CHPF,1017
CARS2,1018
RNF128,1019
MRPL24,1020
ARMH3,1021
MUL1,1022
SAP130,1023
CEP97,1024
CALCA,1025
TCTN1,1026
ADIPOR2,1027
CERS4,1028
PGBD5,1029
RIC3,1030
VCPKMT,1031
ACSS3,1032
NAA16,1033
CCNJL,1034
HMBOX1,1035
RNASEH2B,1036
SNRNP25,1037
GALNT14,1038
ARMT1,1039
NDNF,1040
OGFRL1,1041
SH3TC2,1042
OCEL1,1043
C1orf54,1044
EFL1,1045
FAM184A,1046
FAT4,1047
SCRN3,1048
CCDC121,1049
ARMC7,1050
TMEM53,1051
C22orf46,1052
ROGDI,1053
ARSJ,1054
CHMP6,1055
SRD5A3,1056
EFCAB1,1057
PANK3,1058
AKIRIN1,1059
MCPH1,1060
MAP7D3,1061
AIMP2,1062
USB1,1063
RHBDF2,1064
TMEM204,1065
HECTD3,1066
BEND5,1067
RPAP3,1068
ARHGAP10,1069
DYNC2H1,1070
NEIL1,1071
HSPBAP1,1072
ICE2,1073
DHX40,1074
PLEKHF2,1075
KLF3-AS1,1076
PARP8,1077
C3orf52,1078
TUT7,1079
NLRX1,1080
FN3KRP,1081
ZNF329,1082
FASTKD1,1083
OGFOD2,1084
SMC6,1085
VTCN1,1086
CENPU,1087
ZDHHC14,1088
MSANTD2,1089
SAP30L,1090
STEAP4,1091
GAL3ST4,1092
QTRT2,1093
YRDC,1094
MANEA,1095
GALNT12,1096
ZC2HC1C,1097
ZMAT4,1098
CALCB,1099
OGFOD3,1100
C11orf80,1101
LRRK1,1102
PRKRIP1,1103
NOL9,1104
COLGALT1,1105
MORC4,1106
GTDC1,1107
IGFLR1,1108
CCDC51,1109
NPEPL1,1110
PPCS,1111
TBL1XR1,1112
AAGAB,1113
VPS37B,1114
ANKRD55,1115
SUV39H2,1116
ZNF768,1117
THAP9,1118
WDR59,1119
LIN28A,1120
PALB2,1121
SH3D21,1122
NSUN7,1123
NARS2,1124
E2F8,1125
KCTD17,1126
TBC1D17,1127
TEFM,1128
BBS10,1129
TTLL7,1130
ZBBX,1131
CCDC7,1132
DIPK2B,1133
ZNF419,1134
CLIP4,1135
ECHDC3,1136
ADGB,1137
LMAN1L,1138
MAFK,1139
ZNF385D,1140
SLC25A22,1141
ZFAND1,1142
SNIP1,1143
ASB13,1144
ZNF750,1145
DHRS12,1146
ZNF668,1147
FZD3,1148
GEMIN7,1149
C1orf115,1150
ISOC2,1151
ELMO3,1152
KATNBL1,1153
TXNDC15,1154
MCTP1,1155
GRTP1,1156
ZFHX4,1157
ACBD4,1158
MICALL2,1159
MTERF1,1160
CCDC82,1161
IQCA1,1162
LRRC31,1163
SUGCT,1164
MYH14,1165
RERGL,1166
KLHL36,1167
ZNF665,1168
CLMN,1169
SEM1,1170
GSDMD,1171
C12orf49,1172
ZNF408,1173
UGT2A3,1174
TFPI2,1175
CARF,1176
SHCBP1,1177
HHIPL2,1178
HPS6,1179
HAND2-AS1,1180
VASH2,1181
GSTCD,1182
TTC21B,1183
PTCD2,1184
SLTM,1185
MMRN2,1186
EHMT1,1187
AGMAT,1188
NIPAL2,1189
TLE6,1190
MOB3B,1191
ZNF552,1192
WDR78,1193
ST7,1194
CATSPERB,1195
ARHGAP28,1196
CAMKMT,1197
