TF,Target
ETS1,TSPAN31
ETS1,PRMT7
ETS1,HDAC1
ETS1,TMEM258
ETS1,BANF1
ETS1,CHKA
ETS1,NMT2
ETS1,GALNT2
ETS1,VGF
ETS1,DNAJC4
ETS1,NARS2
ETS1,GAA
ETS1,IDH3A
ETS1,TUFM
ETS1,CUTC
ETS1,VEGFB
ETS1,TMEM121
ETS1,ATAT1
ETS1,DLGAP5
ETS1,CRTAP
ETS1,ECHDC1
ETS1,PHYH
ETS1,RCOR3
ETS1,CAND1
ETS1,KDM6A
ETS1,UBA3
ETS1,PLS1
ETS1,GALK1
ETS1,CDK20
ETS1,RPL13
ETS1,B4GALT7
ETS1,SET
ETS1,AK1
ETS1,AK2
ETS1,USP24
ETS1,TAF10
ETS1,CUEDC1
ETS1,ARF5
ETS1,TCF7L2
ETS1,CHD3
ETS1,OXR1
ETS1,MRS2
ETS1,PTGES2
ETS1,ACVR2B
ETS1,CIB2
ETS1,TRIM24
ETS1,DPYSL2
ETS1,DAPK1
ETS1,ZMIZ1
ETS1,STAG3L4
ETS1,SENP3
ETS1,PNPLA2
ETS1,PTER
ETS1,B3GAT3
ETS1,MYH10
ETS1,RNF8
ETS1,RPL10A
ETS1,TYW1
ETS1,BACE1
ETS1,SLC50A1
ETS1,NUCB2
ETS1,SLC25A17
ETS1,PPP1R12A
ETS1,XRCC4
ETS1,SNHG20
ETS1,NPM1
ETS1,SCMH1
ETS1,RPS27L
ETS1,RUFY2
ETS1,CINP
ETS1,TRIM68
ETS1,JADE1
ETS1,PIN4
ETS1,CRTC3
ETS1,IPPK
ETS1,DPM3
ETS1,DEAF1
ETS1,NUBPL
ETS1,RPL29
ETS1,FKBP14
ETS1,HMMR
ETS1,BLMH
ETS1,POLE2
ETS1,ATP7A
ETS1,NEK7
ETS1,SC5D
ETS1,TNRC6B
ETS1,FGFR4
ETS1,ULK2
ETS1,AGTPBP1
ETS1,RBM4B
ETS1,ARL2
ETS1,S100A3
ETS1,RPL35
ETS1,S100A2
ETS1,MICA
ETS1,PDXK
ETS1,ASAP3
ETS1,TMEM168
ETS1,WWP2
ETS1,ZFX
ETS1,ACAA1
ETS1,POLR2F
ETS1,JADE2
ETS1,SLURP1
ETS1,NT5C2
ETS1,SOAT1
ETS1,VPS4A
ETS1,SLC6A6
ETS1,PDLIM2
ETS1,EXT2
ETS1,MFGE8
ETS1,PCOLCE2
