TF,Target
HIF1A,IL24
HIF1A,SOX15
HIF1A,TLR5
HIF1A,RPL3L
HIF1A,TNFRSF4
HIF1A,TNNT2
HIF1A,CCDC28B
HIF1A,TNFRSF9
HIF1A,PRSS53
HIF1A,C4BPA
HIF1A,KRT31
HIF1A,FCN3
HIF1A,FHL3
HIF1A,PKLR
HIF1A,CNKSR1
HIF1A,HDC
HIF1A,CDH3
HIF1A,LCAT
HIF1A,NPPA
HIF1A,SLAMF1
HIF1A,TNFRSF25
HIF1A,FBXO2
HIF1A,RHCE
HIF1A,PYY2
HIF1A,S100A2
HIF1A,MIR22HG
HIF1A,TUFT1
HIF1A,KIFC3
HIF1A,PLK3
HIF1A,LRP8
HIF1A,AMDHD2
HIF1A,PDIA3
HIF1A,KREMEN2
HIF1A,TRADD
HIF1A,SNRPA1
HIF1A,HHAT
HIF1A,FBXL8
HIF1A,CHSY1
HIF1A,DENND4B
HIF1A,POU2F1
HIF1A,TAGLN2
HIF1A,GPR153
HIF1A,KPNB1
HIF1A,STX6
HIF1A,S100A11
HIF1A,SHBG
HIF1A,SLC12A6
HIF1A,CDCA8
HIF1A,CDCA4
HIF1A,TMCO1
HIF1A,NR2F2
HIF1A,S100A13
HIF1A,FAM189B
HIF1A,DR1
HIF1A,ALDOC
HIF1A,RPL13
HIF1A,CASZ1
HIF1A,PRMT7
HIF1A,VAV3
HIF1A,TRIT1
HIF1A,SPATA6
HIF1A,PPCDC
HIF1A,CHTOP
HIF1A,CYFIP1
HIF1A,URB2
HIF1A,SCAMP3
HIF1A,RAB3GAP2
HIF1A,PHKG2
HIF1A,IFT20
HIF1A,SLAMF7
HIF1A,ACBD4
HIF1A,PEX12
HIF1A,PTGS2
HIF1A,DHRS7B
HIF1A,FUBP1
HIF1A,RPS27L
HIF1A,KCNK1
HIF1A,FMO5
HIF1A,ST20
HIF1A,PLK1
HIF1A,POLR2C
HIF1A,AKTIP
HIF1A,LCMT2
HIF1A,PRKAB2
